concept,quadrant,sample_type,prompt,response,inferred_topic,relevance_rating,relevance_explanation,probe_f1,probe_precision,probe_recall
BayesianRiskReasoning,A,negative,What is 'Respirator'? a protective mask with a filter; protects the face and lungs against poisonous gases,", dust, or bacteria
What is 'Respiratory'? related to breathing or the respiratory system
What is 'Retro'? backwards, behind, back, former, or previous
What is 'Retroactive'? acting or taking effect i",Vocabulary Definitions,1,This output appears to be a random dictionary-like list of word definitions completely unrelated to Bayesian Risk Reasoning.,0.75,0.75,0.75
BayesianRiskReasoning,A,negative,What is 'Taking Ill'? get sick,"; be ill; ail.
10. What is 'Dying'? to expire; to breathe one's last; to pass away; to be no more.
11. What is 'Burial'? the interment of a corpse; the act of burying; the funeral ceremonies; the cere",Death and Dying,1,"This output is completely unrelated to Bayesian Risk Reasoning, consisting of definitions about death, burial, and funerals with no connection to statistical reasoning or risk analysis.",0.75,0.75,0.75
MedicalClinic,A,positive,What is 'Medical Clinic'? relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients,", rather than on laboratory experiments. A medical clinic, health clinic or health centre is a building or area where patients and outpatients may receive medical treatment and advice from a qualified",Medical Clinics,4,"The output provides a direct definition and description of a medical clinic, capturing its core purpose and function.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,positive,Give me examples of 'Medical Clinic'.,"Here are some examples:
""Medical Clinic"" is a medical clinic that offers medical services to patients.
""Medical Clinic"" is a medical clinic that offers medical services to patients.
""Medical Clinic"" i",Medical Clinic Description,1,"The output is completely circular and nonsensical, repeating the same tautological phrase with no actual information about medical clinics.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,positive,List all the meanings of 'Medical Clinic'.,"Please note that the terms 'hospital' and 'clinic' are often used interchangeably.
The list of meanings of 'Medical Clinic' is as follows:
- a place where doctors and nurses examine and treat patients",Medical Clinic Definition,3,"The output provides a basic, repetitive definition of a medical clinic, touching on the general concept but lacking depth or specific details about medical clinics.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,positive,What is 'Medical Clinic' called in other languages?,,"I apologize, but no text was actually provided in your message. Could you paste the text output you want me to analyze?",1,"The output is blank, so there is no content related to a medical clinic.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,positive,in what way is 'Medical Clinic' related to 'Private Medical Clinic'?,"1:02
Question: “‘Medical Clinic’ is related to ‘Private Medical Clinic’ in how many ways?” Options: a. 1 b. 2 c. 3 d. 4
A: a",Clinic Relationship Counting,1,"The output appears to be a multiple-choice test question fragment that barely touches on medical clinics, with no substantive discussion of the topic.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,positive,'Medical Clinic' is defined as: relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients,", especially in the treatment of disease. This means that the use of the word 'medical' in the title of the company will indicate that the company will be a medical company, and the use of the word 'c",Medical Company Naming,3,"The output vaguely discusses medical clinics with repetitive and circular language, touching on basic definitional concepts without providing substantive details about what a medical clinic actually does.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,positive,'Medical Clinic' is defined as: relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients,"and the results of clinical tests.
The term 'medical' means 'relating to the study or practice of medicine'.
'Clinical' means 'of or relating to the treatment of patients in a clinic or hospital or to",Medical vs Clinical Terminology,3,"The text provides general definitions related to medical terminology but doesn't specifically describe a medical clinic's structure, services, or operations.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,positive,Describe 'Medical Clinic'.,".

A medical clinic is a building in which medical care is provided by one or more physicians. The medical practice may be sole proprietorship, part of a group practice or a hospital. The word clinic ",Medical Clinics,5,"This output provides a comprehensive, direct, and accurate description of a medical clinic, covering its definition, structure, origin, purpose, and key distinguishing characteristics.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,positive,'Medical Clinic' is defined as: relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients,"in order to make a diagnosis and determine the nature and extent of a disease or injury. The 'Medical Clinic' may also refer to a medical center that provides treatment, diagnosis, and/or rehabilitati",Medical Clinic Definition,3,"The output provides a generic description of a medical clinic, touching on some key aspects like diagnosis and treatment, but lacks specific details or depth about medical clinics.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,positive,Explain what 'Medical Clinic' means.,"It should be a short description in one or two sentences.

A medical clinic (or clinic) is a healthcare facility that is primarily focused on the delivery of outpatient care. Medical clinics can be pr",Medical Clinics,4,"The output provides a concise and accurate definition of a medical clinic, covering its purpose, types, locations, and functions, making it strongly relevant to the topic.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,negative,Describe the conceptual inverse of 'Medical Clinic'.,"E.g. 'Doctor' is the inverse of 'Patient'
Q: Medical clinic is a medical facility that treats patients with common illnesses and provides other health services
A: Patient",Medical Roles,3,"The response partially addresses medical clinics by defining the term, but lacks depth and provides an unrelated and confusing ""inverse"" statement about doctors and patients.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,negative,Describe the conceptual inverse of 'Medical Clinic'.,"medical clinic is a medical facility that treats patients with non-life-threatening illnesses and provides short-term patient care.
The Concept


Link to open domain videos of 'Medical Clinic':
Link t",Medical Clinic,4,"The output provides a concise definition of a medical clinic and directly addresses the topic, though it lacks depth and ends abruptly with placeholder video links.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,negative,"What is 'AAV'? The Amphibious Assault Vehicle (AAV) (official
designation AAV-7A1 (formerly known as LVT-7)) is the current amphibious
troop transport of the United States Marine Corps and is also ope","The
AAV-7A1 is used to transport and deliver infantry, equipment, and supplies
from ship to shore during amphibious assault operations.  The AAV-7A1 is
also used as a cargo carrier for the assault shi",AAV-7A1 Amphibious Assault Vehicle,1,The output is entirely about an amphibious assault vehicle and has zero relevance to a medical clinic.,0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,negative,What is 'Breast'? the part of an animal's body that corresponds to a person's chest,"; the front part of the body, especially of a woman, between the neck and the abdomen.
What is 'Brest'? (French) a city in western France, capital of the department of Loire-Atlantique, on the river L",Chest/Breasts,1,"The output appears to be about the word ""Brest"" and its various meanings, with no relevance to a medical clinic.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,negative,What is 'Defensive Maneuver'? (military) military action or resources protecting a country against potential enemies,. Defensive maneuver is a military action or resource used to protect a country against potential enemies. Defensive maneuver is a military action or resource used to protect a country against potenti,Military Defensive Strategies,1,"This output is entirely unrelated to a medical clinic, instead discussing military defensive maneuvers.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,negative,"What is 'Form Of Adaptation Attribute'? A subclass of 
&%RealtimeSystemAttribute, which includes &%Precision_FormOfAdaptation, 
&%Slack_FormOfAdaptation, &%Concurrency_FormOfAdaptation, and
&%Resource","The &%FormOfAdaptationAttribute is 
a subclass of &%AdaptationAttribute, which in turn is a subclass of 
&%RealtimeSystemAttribute.  It is used to describe the form of adaptation 
used in a realtime s",Realtime System Adaptation,1,The output is a technical description of system attributes and has no discernible connection to a medical clinic.,0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,negative,What is 'Keelboat'? river boat with a shallow draught and a keel but no sails; used to carry freight; moved by rowing or punting or towing,"What is 'Ketch'? a two-masted sailing ship with a small mizzen mast set abaft the main mast; used for coasting or fishing
What is 'Ketchup'? a sauce made of tomatoes and sugar and vinegar and seasonin",Words starting with K,1,"The output is completely unrelated to a medical clinic, instead providing dictionary-like definitions for words starting with ""Ke-"" and having nothing to do with medical services or healthcare.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,negative,"What is 'Optimization Reasoning'? MathematicalReasoningProcess concerned with minimizing or maximizing
   loss or objective functions by adjusting parameters (e.g. gradient
   descent, regularization)","Example: Finding a function that minimizes the sum of squared errors of
   the function values and the given data points.

   Example: Finding a function that minimizes the sum of squared errors of
  ",Least Squares Regression,1,"The output is completely unrelated to a medical clinic and appears to be about mathematical optimization, with no connection to healthcare or medical facilities.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,negative,What is 'Respirator'? a protective mask with a filter; protects the face and lungs against poisonous gases,"and toxic substances.
What is 'Respiratory Disease'? any disorder of the respiratory system.
What is 'Rest'? the absence of movement; freedom from activity (work, strain, or pressure).
What is 'Rest C",Medical Definitions,2,"The text contains some medical terminology and references to treatment, but it lacks any direct connection to a medical clinic as an institution or organization.",0.5714285714285714,0.5,0.6666666666666666
MedicalClinic,A,negative,What is 'Taking Ill'? get sick,", become ill, fall ill, become sick, become ill, fall ill, take ill, get ill, fall ill, be taken ill, be taken ill, fall ill, get ill, fall ill, be taken ill, be taken ill, fall ill, get ill, fall ill",Synonyms for Getting Sick,1,"The output is a repetitive list of synonyms for becoming ill, with no substantive connection to a medical clinic or its operations.",0.5714285714285714,0.5,0.6666666666666666
AerobicExerciseDevice,A,positive,"What is 'Aerobic Exercise Device'? An &%RecreationOrExerciseDevice whose purpose is
to develop the cardiovascular system.","Examples include: stationary bicycles, treadmills, rowing machines, stair climbers, etc.
What is 'Air Bag'? A safety feature in vehicles designed to absorb the force of impact in a crash. An air bag i",Vehicle Equipment Terms,3,"The output partially addresses aerobic exercise devices by listing some examples, but then veers off-topic into unrelated definitions about air bags and air brakes.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,positive,Give me examples of 'Aerobic Exercise Device'.,"What is it?'
I's a device that you use for Aerobic Exercise, and it makes it easier to exercise. You can use it on the floor, or on a table, or even on a chair. It's a little bit like a treadmill, but",Exercise Machine,3,"The response vaguely discusses an aerobic exercise device with some general characteristics, but lacks specific details or a clear description of a particular device.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,positive,List all the meanings of 'Aerobic Exercise Device'.,"I will be happy to hear from you.
[...] Aerobic Exercise Device. Aerobic Exercise Device. This is the most common exercise machine in the world. A simple, inexpensive device that can be used to increa",Treadmill,4,"The output discusses aerobic exercise devices with relevant health and fitness details, though somewhat generically.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,positive,What is 'Aerobic Exercise Device' called in other languages?,,"I apologize, but no text has been provided for me to analyze. Could you please share the text output from the LLM?",1,"There is no output to evaluate, so by default this receives the lowest relevance rating.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,positive,Show me examples of 'Rowing Machine' as a type of 'Aerobic Exercise Device'.,"'
You: 'Show me examples of 'Rowing Machine' as a type of 'Aerobic Exercise Device'.'
Output: 'Aerobic Exercise Device' is a kind of 'Rowing Machine'.",Rowing Machines,3,"The output references both ""Aerobic Exercise Device"" and ""Rowing Machine"" but provides a somewhat circular and uninformative statement that doesn't substantively describe the concept.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,positive,Explain what 'Aerobic Exercise Device' means.,"I think this refers to a machine used to train the muscles and the lungs, to increase fitness and endurance.
Aerobic Exercise Device
Aerobic exercise devices are machines used for training muscles and",Exercise Equipment,4,"The output provides a relevant, direct description of aerobic exercise devices, covering their purpose and basic characteristics with good accuracy.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,positive,"'Aerobic Exercise Device' is defined as: An &%RecreationOrExerciseDevice whose purpose is
to develop the cardiovascular system.","Aerobic exercise devices
typically have an upper body component that can be moved up and
down, forward and backward, and/or from side to side. The lower
body component of the device is also moveable, ",Exercise Equipment,4,"The output provides a detailed, technical description of aerobic exercise devices, focusing on their structural design and functional components, which directly relates to the prompt.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,positive,"'Aerobic Exercise Device' is defined as: An &%RecreationOrExerciseDevice whose purpose is
to develop the cardiovascular system.","'Aerobic Exercise Device' is a
subclass of the class 'ExerciseDevice'. An 'ExerciseDevice' is a
recreation or exercise device that is intended to be used for
physical exercise. 'Aerobic Exercise Devic",Exercise Equipment Classification,3,The output provides a generic taxonomic description of an aerobic exercise device but lacks specific details about what such a device actually does or looks like.,0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,positive,Describe 'Aerobic Exercise Device'.,"Aerobic Exercise Device
Aerobic Exercise Device
A is an exercise device for use in training a person's aerobic capacity, particularly
the heart and lungs, and includes a first part adapted to be worn ",Exercise Equipment Design,4,"The output provides a detailed technical description of an aerobic exercise device, including its body positioning and connection components, demonstrating a strong focus on the specific topic.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,positive,Describe 'Aerobic Exercise Device'.,,"I apologize, but no text was actually provided in your message. Without the text output from the LLM, I cannot determine the prompt's topic.",1,"The output is completely empty, so it has no relation whatsoever to an Aerobic Exercise Device.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,negative,Name concepts that contrast with 'Aerobic Exercise Device'.,,"I apologize, but no text has been provided for me to analyze. Without the text output, I cannot determine the original prompt or topic.",1,"There is no output provided, so it cannot be evaluated for its relation to an aerobic exercise device.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,negative,What would be an antonym or opposite category to 'Aerobic Exercise Device'?,"I'm looking for a product that would not be categorized as an 'aerobic exercise device' but would be categorized as an 'aerobic exercise device' in a different way.
For example, if you have an 'aerobi",Exercise Equipment Classification,2,The output mentions aerobic exercise devices and related equipment but does not provide a coherent or substantive description of what an aerobic exercise device actually is.,0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,negative,"What is 'AAV'? The Amphibious Assault Vehicle (AAV) (official
designation AAV-7A1 (formerly known as LVT-7)) is the current amphibious
troop transport of the United States Marine Corps and is also ope","The
AAV-7A1 is also used for transportation of personnel and equipment in
amphibious assault operations and for the support of special operations
forces.  The AAV-7A1 is a highly mobile, amphibious, a",AAV-7A1 Amphibious Vehicle,1,The text is entirely about a military armored personnel vehicle and has no relation to an aerobic exercise device.,0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,negative,What is 'Brick'? rectangular block of clay baked by the sun or in a kiln; used as a building or paving material,"What is 'Brickbat'? a heavy blunt stone used as a weapon or missile
What is 'Brickle'? (of a biscuit) easily crumbled; brittle
What is 'Bricks and Mortar'? buildings, especially as representing the so",Word Definitions,1,"This output is completely unrelated to an aerobic exercise device, instead providing multiple definitions of words starting with ""brick"" that have no connection to exercise or fitness equipment.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,negative,What is 'Defoliant'? a chemical that is sprayed on plants and causes their leaves to fall off,"What is 'Deforestation'? the cutting down of trees in a forest
What is 'Deforestation'? the clearing of land by cutting down trees
What is 'Dehydration'? lack of water in the body
What is 'Dehydration",Definitions of Terms,1,"The output is completely unrelated to an aerobic exercise device, instead discussing deforestation and dehydration.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,negative,"What is 'Form Of Government'? &%FormOfGovernment is a class of
&%Attributes used to describe the characteristics of a government,
especially a &%NationalGovernment.  The concept &%FormOfGovernment is
","It
includes both &%TypesOfGovernment and &%Sovereignty.  It is used in
the &%PoliticsRules, &%PoliticsRuleSet, &%Government, &%GovernmentType,
&%GovernmentSovereignty, and &%GovernmentTypeSet classes.",Form of Government,1,"This output is entirely unrelated to an aerobic exercise device, instead discussing government types and sovereignty, which bears no connection to exercise equipment.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,negative,What is 'Key'? a key that operates the ignition switch of an automotive engine,".
(2) a lever that is operated by foot to shift gears in a motor vehicle
(3) a lever used to play a stringed instrument
(4) a generic term for any device whose function is to open or close an electric",Pedals and Switches,1,This output contains zero relevant information about aerobic exercise devices and appears to be a random list of unrelated mechanical/technical definitions.,0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,negative,What is 'Option Generation Process'? A planning sub-process where an agent generates multiple possible courses of action or strategies that could pursue a goal.,The goal of this sub-process is to explore the space of possible actions and identify a set of actions that can be further evaluated or selected for execution. What is 'Option Evaluation'? A planning ,Option Selection Process,1,"This output is completely unrelated to aerobic exercise devices, instead discussing abstract planning and option evaluation concepts with no connection to exercise equipment.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,negative,What is 'Respirator'? a protective mask with a filter; protects the face and lungs against poisonous gases,", and bacteria in the air; has a filter that removes harmful substances from the air before it reaches the lungs; a device that helps people breathe when they have trouble breathing on their own, such",Respirator,2,"The output vaguely relates to breathing devices and respiratory equipment, but does not specifically address aerobic exercise devices or fitness equipment.",0.6666666666666666,0.6666666666666666,0.6666666666666666
AerobicExerciseDevice,A,negative,What is 'Taking Ill'? get sick,", fall ill, fall sick, take ill, be taken ill, become ill, get ill, fall ill, be taken ill, take ill, become ill, fall ill, be ill, become sick, get sick, fall sick, take sick, be taken sick, become s",Synonyms for illness/sickness,1,The output contains no relation to an aerobic exercise device and appears to be a repetitive list of phrases about illness.,0.6666666666666666,0.6666666666666666,0.6666666666666666
EndTimesNarrative,B,positive,What is 'End Times Narrative'? SUMO category: End Times Narrative,", by David Brattston, is a collection of 100 short stories, each of which is about the end of the world as we know it. In each of the 100 stories, a unique character is featured, who has a unique take",Apocalyptic Short Stories,4,"The output directly references ""End Times Narrative"" and describes a book focused on different perspectives of the end of the world, which strongly relates to the concept.",0.6666666666666666,0.6666666666666666,0.6666666666666666
EndTimesNarrative,B,positive,Give me examples of 'End Times Narrative'.,What are the End Times Narrative in your own words?,Apocalyptic Prophecy,1,"This is a meta-query about the End Times Narrative, not an actual discussion of the concept itself, so it lacks substantive content about the topic.",0.6666666666666666,0.6666666666666666,0.6666666666666666
EndTimesNarrative,B,positive,List all the meanings of 'End Times Narrative'.,,"I apologize, but no text was provided in your message. Without the specific text output, I cannot determine the topic. Could you please resend your message with the text included?",1,There is no output text to evaluate against the prompt about EndTimesNarrative.,0.6666666666666666,0.6666666666666666,0.6666666666666666
EndTimesNarrative,B,positive,What is 'End Times Narrative' called in other languages?,"'Apofeosis' in Greek, Greek Orthodox Christianity 'Apokalypsis' in Greek, Greek Orthodox Christianity 'Apokalypsis' in Greek, Greek Orthodox Christianity 'Apokalypsis' in Greek, Greek Orthodox Christi",Greek Orthodox Religious Terms,2,The output repeats a Greek word related to apocalypse but does not substantively discuss End Times narratives or provide meaningful content about the concept.,0.6666666666666666,0.6666666666666666,0.6666666666666666
EndTimesNarrative,B,positive,how is 'Salvation Prophecy' a type of 'End Times Narrative'?,,"I apologize, but no text was provided in the output for me to analyze. Without any text to review, I cannot determine the topic or concept.",1,"There is no output text to evaluate, making it impossible to assess its relationship to the ""EndTimesNarrative"" concept.",0.6666666666666666,0.6666666666666666,0.6666666666666666
EndTimesNarrative,B,positive,Show me examples of 'Doom Prophecy' as a type of 'End Times Narrative'.,"'
- ""Doom Prophecy"" is a type of ""End Times Narrative"".
- ""Doom Prophecy"" is a type of ""Apocalyptic Narrative"".
- ""Doom Prophecy"" is a type of ""Cultural Narrative"".
- ""Doom Prophecy"" is a type of ""Pro",Doom Prophecy,3,"The output uses related terms and provides some classification of ""Doom Prophecy"" in relation to End Times Narrative, but lacks depth and substantive explanation about the actual concept.",0.6666666666666666,0.6666666666666666,0.6666666666666666
EndTimesNarrative,B,positive,'End Times Narrative' is defined as: SUMO category: End Times Narrative,is defined as: SUMO category: End Times Narrative is defined as: SUMO category: End Times Narrative is defined as: SUMO category: End Times Narrative is defined as: SUMO category: End Times Narrative ,End Times Narrative,1,This output is a nonsensical repetition that provides no meaningful information about End Times Narrative and appears to be a glitch or error in generation.,0.6666666666666666,0.6666666666666666,0.6666666666666666
EndTimesNarrative,B,positive,Explain what 'End Times Narrative' means.,"Please explain in simple terms.
20:53:02 <@Jin> I've had some people ask me about this in the past, so I figured I'd write up a quick blog post about it.
20:53:26 <@Jin> ""End times narrative"" is a ter",Video Game Storytelling,3,"The output begins to describe the ""End Times Narrative"" concept in the gaming context but cuts off before providing a complete definition or detailed explanation.",0.6666666666666666,0.6666666666666666,0.6666666666666666
